"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D4WR31_PEA","A0A9D4WR31",0.528139822736993,0.559327218897788,0.949597591346864,0.968,0.744,0.976,FALSE,FALSE,FALSE,FALSE,-0.532,0.491,0.0471,-0.136,-0.668,0.356,0.403
"A0A9D4WR43_PEA","A0A9D4WR43",0.995261648054133,0.763056051307391,0.486716859743325,0.999,0.879,0.702,FALSE,FALSE,FALSE,FALSE,0.00985,0.501,-1.05,0.00957,0.0194,0.511,-0.537
"A0A9D4WR43_PEA.1","A0A9D4WQ17",0.978942316949779,0.985141277528211,0.67120906153799,0.996,0.994,0.827,FALSE,FALSE,FALSE,FALSE,0.0637,0.0449,-0.921,0.209,0.273,0.254,-0.667
"A0A9D4WR48_PEA","P34922",0.423919404560796,0.0805628696893156,0.857072842873008,0.929,0.206,0.932,FALSE,FALSE,FALSE,FALSE,0.187,-0.443,-0.037,0.201,0.388,-0.242,-0.279
"A0A9D4WR56_PEA","A0A9D4WR56",0.780777051568207,0.895302607853517,0.793646506213728,0.996,0.947,0.898,FALSE,FALSE,FALSE,FALSE,0.377,-0.178,0.316,-0.0921,0.284,-0.27,0.0467
"A0A9D4WR56_PEA.1","A0A9D4WR56",0.879573017785475,0.493991399246754,0.179175350951208,0.996,0.692,0.39,FALSE,FALSE,FALSE,FALSE,-0.18,-0.824,1.51,0.0863,-0.0937,-0.738,0.774
"A0A9D4WR64_PEA","A0A9D4WR64",0.96661495493347,0.139365964417422,0.248487126742762,0.996,0.303,0.481,FALSE,FALSE,FALSE,FALSE,-0.0535,-2.03,1.38,0.745,0.692,-1.28,0.0942
"A0A9D4WR64_PEA.1","A0A9D4WR64",0.431376636358679,0.919954198063479,0.423811693730988,0.931,0.961,0.651,FALSE,FALSE,FALSE,FALSE,-0.681,-0.0853,0.619,0.0633,-0.617,-0.022,0.597
"A0A9D4WR65_PEA","A0A9D4WR65",0.0614690073243686,0.330656075000088,0.673569910100545,0.632,0.538,0.828,FALSE,FALSE,FALSE,FALSE,2.42,1.16,-0.437,-1.17,1.25,-0.015,-0.452
"A0A9D4WR70_PEA","A0A9D4VIN0",0.836496564623043,0.193744432624014,0.0110005587458801,0.996,0.379,0.0535,FALSE,FALSE,FALSE,FALSE,0.0441,-0.293,0.603,-0.0169,0.0271,-0.31,0.294
