"name","ID","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio"
"A0A9D4WX16_PEA.1","A0A9D4VHP5",1.98926989711279e-05,0.000848,TRUE,-4.86
"A0A9D4WX24_PEA","A0A9D4WX24",0.0022481295550649,0.0173,TRUE,0.892
"A0A9D4WX68_PEA.1","A0A9D4WX68",0.00299329268535787,0.0213,TRUE,1.59
"A0A9D4WXC4_PEA","A0A9D4WXC4",0.00758205784590232,0.041,TRUE,0.639
"A0A9D4WXC9_PEA.1","A0A9D4WXC9",0.000226766739696891,0.00378,TRUE,1.41
"A0A9D4WXP9_PEA","A0A9D4WZM9",0.000229997123394476,0.00381,TRUE,0.835
"A0A9D4WXR6_PEA","A0A9D4WXL3",0.000629426491818969,0.0072,TRUE,1.39
"A0A9D4WYE7_PEA","A0A9D4WYE7",4.25550942328365e-05,0.00139,TRUE,-1.12
"A0A9D4WYF2_PEA","A0A9D4WYF2",0.00312803798527762,0.0221,TRUE,1.04
"A0A9D4WYJ1_PEA","A0A9D4WYJ1",0.00662877656960931,0.0374,TRUE,-0.811
"A0A9D4WYL1_PEA","A0A9D4WYL1",0.0098719526659091,0.0495,TRUE,1.55
"A0A9D4WYL8_PEA.1","A0A9D4WYL8",0.00731697248518253,0.0399,TRUE,2.94
"A0A9D4WYM7_PEA","A0A9D4WYM7",0.00876044894771295,0.0454,TRUE,-0.742
"A0A9D4WYN2_PEA","A0A9D4WYN2",0.000726718014975122,0.00799,TRUE,2.49
"A0A9D4WYN7_PEA","A0A9D4WYN7",4.11179758742005e-05,0.00137,TRUE,3.06
"A0A9D4WYP2_PEA","A0A9D4WYP2",0.00437479944463556,0.028,TRUE,1.16
"A0A9D4WZ66_PEA","A0A9D4WZ66",0.005884152985004,0.0346,TRUE,0.701
"A0A9D4WZC0_PEA","A0A9D4WZC0",3.36387258491496e-05,0.00122,TRUE,2.28
"A0A9D4WZC8_PEA","A0A9D4WZC8",0.000196149684133751,0.00342,TRUE,1.61
"A0A9D4WZE0_PEA","A0A9D4WZE0",0.00128578577216858,0.0117,TRUE,-1.18
"A0A9D4WZK1_PEA","A0A9D4WZK1",0.000631669721855978,0.00721,TRUE,2.54
"A0A9D4WZK5_PEA","A0A9D4WZK5",7.55080423047972e-05,0.00199,TRUE,-1.57
"A0A9D4WZQ1_PEA.1","A0A9D4WZQ1",0.00891053374000112,0.0457,TRUE,-2.61
"A0A9D4X039_PEA","A0A9D4X039",6.79559361233154e-07,0.000134,TRUE,2.43
