"name","ID","Apical_Buds_2h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.val","Apical_Buds_2h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_2h_vs_Axillary_Buds_0h_p.adj","Apical_Buds_2h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_2h_vs_Axillary_Buds_0h_significant","significant","Apical_Buds_2h_vs_Apical_Buds_0h_ratio","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio","Axillary_Buds_2h_vs_Axillary_Buds_0h_ratio","Apical_Buds_0h_centered","Apical_Buds_2h_centered","Axillary_Buds_0h_centered","Axillary_Buds_2h_centered"
"A0A9D5BA31_PEA.1","A0A9D5BA31",0.243694471296624,0.106634303534748,0.35580372162836,0.847,0.251,0.593,FALSE,FALSE,FALSE,FALSE,1.31,1.9,0.916,-1.64,-0.328,0.253,1.17
"A0A9D5BA87_PEA","A0A9D5BA87",0.416355321176801,0.650435033488157,0.0709404044466998,0.929,0.811,0.209,FALSE,FALSE,FALSE,FALSE,1.19,0.653,-2.57,0.0215,1.21,0.675,-1.9
"A0A9D5BAA1_PEA","A0A9D5BAA1",0.488548324307995,0.388587180793911,0.846665561220933,0.959,0.593,0.928,FALSE,FALSE,FALSE,FALSE,0.976,-1.23,0.24,0.337,1.31,-0.889,-0.649
"A0A9D5BAG5_PEA","A0A9D5BAG5",0.0946930507571417,0.0924688613068053,0.0431737547658898,0.7,0.227,0.147,FALSE,FALSE,FALSE,FALSE,-0.698,0.704,-0.79,0.0218,-0.676,0.726,-0.0639
"A0A9D5BAG7_PEA","A0A9D5B8R2",0.206837311423178,0.454125935478024,0.0462495207163432,0.828,0.656,0.154,FALSE,FALSE,FALSE,FALSE,0.308,-0.177,0.471,-0.116,0.192,-0.293,0.178
"A0A9D5BAL2_PEA","A0A9D5BAL2",0.534461454109377,0.724290519489773,0.683839965855828,0.969,0.856,0.834,FALSE,FALSE,FALSE,FALSE,-0.122,-0.0686,-0.0709,0.0899,-0.0318,0.0214,-0.0495
"A0A9D5BAQ4_PEA","A0A9D5BAQ4",0.841391662860952,0.869791963068546,0.228936208875215,0.996,0.935,0.457,FALSE,FALSE,FALSE,FALSE,0.183,-0.15,-1.03,0.313,0.496,0.163,-0.867
"A0A9D5BAR9_PEA","A0A9D5BAR9",0.774658440733582,0.0129029108735817,0.0311286114697125,0.996,0.0514,0.115,FALSE,FALSE,FALSE,FALSE,-0.0454,-0.484,0.356,0.179,0.134,-0.305,0.051
"A0A9D5BAY0_PEA","A0A9D5BAY0",0.0108484615642461,0.148448635173235,0.674051272642382,0.396,0.317,0.828,FALSE,FALSE,FALSE,FALSE,3.1,1.51,0.37,-1.77,1.33,-0.26,0.11
"A0A9D5BB02_PEA","A0A9D5BB02",0.40457991898942,0.0745142702698984,0.608210886392958,0.924,0.195,0.787,FALSE,FALSE,FALSE,FALSE,-1.17,-2.72,0.634,1.63,0.458,-1.09,-0.454
