"","Common_Genes"
"170","A0A9D4WGZ5_PEA"
"171","A0A9D4WH17_PEA"
"172","A0A9D4WH69_PEA"
"173","A0A9D4WHI9_PEA"
"174","A0A9D4WHK6_PEA"
"175","A0A9D4WIE7_PEA.1"
"176","A0A9D4WIH8_PEA"
"177","A0A9D4WII4_PEA"
"178","A0A9D4WIJ2_PEA"
"179","A0A9D4WIM2_PEA"
"180","A0A9D4WIQ7_PEA"
"181","A0A9D4WIR2_PEA"
"182","A0A9D4WIS6_PEA"
"183","A0A9D4WJ99_PEA"
"184","A0A9D4WJN2_PEA"
"185","A0A9D4WJT7_PEA"
"186","A0A9D4WK21_PEA"
"187","A0A9D4WKE3_PEA"
"188","A0A9D4WKW0_PEA"
"189","A0A9D4WLE5_PEA"
"190","A0A9D4WLM4_PEA"
"191","A0A9D4WLU4_PEA"
"192","A0A9D4WMA3_PEA"
"193","A0A9D4WML1_PEA"
"194","A0A9D4WML3_PEA"
"195","A0A9D4WML5_PEA"
"196","A0A9D4WMP7_PEA"
"197","A0A9D4WMR8_PEA"
"198","A0A9D4WMS0_PEA"
"199","A0A9D4WMV6_PEA"
"200","A0A9D4WNE2_PEA"
"201","A0A9D4WNI5_PEA"
"202","A0A9D4WP68_PEA"
"203","A0A9D4WPI8_PEA"
"204","A0A9D4WQH7_PEA"
"205","A0A9D4WQT0_PEA.1"
"206","A0A9D4WQX9_PEA"
"207","A0A9D4WR59_PEA"
"208","A0A9D4WRB2_PEA"
"209","A0A9D4WRE5_PEA"
"210","A0A9D4WRH4_PEA"
"211","A0A9D4WRP5_PEA"
"212","A0A9D4WS67_PEA"
"213","A0A9D4WSE0_PEA"
"214","A0A9D4WSG7_PEA"
"215","A0A9D4WTE8_PEA"
"216","A0A9D4WTK9_PEA"
"217","A0A9D4WTN7_PEA"
"218","A0A9D4WTU4_PEA"
"219","A0A9D4WTV4_PEA"
"220","A0A9D4WU13_PEA"
"221","A0A9D4WU58_PEA"
"222","A0A9D4WUG1_PEA"
"223","A0A9D4WV44_PEA"
"224","A0A9D4WV85_PEA"
"225","A0A9D4WVU6_PEA"
"226","A0A9D4WVX5_PEA"
"227","A0A9D4WW96_PEA"
"228","A0A9D4WWA2_PEA"
"229","A0A9D4WWC0_PEA"
"230","A0A9D4WX16_PEA.1"
"231","A0A9D4WYE7_PEA"
"232","A0A9D4WYJ1_PEA"
"233","A0A9D4WYM7_PEA"
"234","A0A9D4WZE0_PEA"
"235","A0A9D4WZK5_PEA"
"236","A0A9D4WZQ1_PEA.1"
"237","A0A9D4X117_PEA"
"238","A0A9D4X1F1_PEA"
"239","A0A9D4X1U1_PEA"
"240","A0A9D4X2J8_PEA"
"241","A0A9D4X341_PEA"
"242","A0A9D4X372_PEA"
"243","A0A9D4X3A9_PEA"
"244","A0A9D4X3D1_PEA"
"245","A0A9D4X3L3_PEA"
"246","A0A9D4X3V5_PEA"
"247","A0A9D4X3Y5_PEA"
"248","A0A9D4X406_PEA"
"249","A0A9D4X4F8_PEA"
"250","A0A9D4X4K3_PEA"
"251","A0A9D4X4P7_PEA"
"252","A0A9D4X4R1_PEA"
"253","A0A9D4X4R9_PEA"
"254","A0A9D4X4S2_PEA"
"255","A0A9D4X4U4_PEA"
"256","A0A9D4X4Z6_PEA"
"257","A0A9D4X537_PEA"
"258","A0A9D4X547_PEA"
"259","A0A9D4X561_PEA"
"260","A0A9D4X564_PEA"
"261","A0A9D4X5A9_PEA"
"262","A0A9D4X5C4_PEA"
"263","A0A9D4X5P5_PEA"
"264","A0A9D4X5T2_PEA"
"265","A0A9D4X5V0_PEA"
"266","A0A9D4X613_PEA"
"267","A0A9D4X670_PEA"
"268","A0A9D4X6F2_PEA"
"269","A0A9D4X6G2_PEA"
"270","A0A9D4X6Y8_PEA"
"271","A0A9D4X711_PEA"
"272","A0A9D4X730_PEA"
"273","A0A9D4X7B4_PEA"
"274","A0A9D4X7C6_PEA"
"275","A0A9D4X7D0_PEA"
"276","A0A9D4X7K7_PEA"
"277","A0A9D4X7S7_PEA"
"278","A0A9D4X7V9_PEA"
"279","A0A9D4X836_PEA"
"280","A0A9D4X888_PEA"
"281","A0A9D4X8A3_PEA"
"282","A0A9D4X8H0_PEA"
"283","A0A9D4X8S0_PEA"
"284","A0A9D4X8V8_PEA"
"285","A0A9D4X941_PEA"
"286","A0A9D4X9B6_PEA"
"287","A0A9D4X9J8_PEA"
"288","A0A9D4XA28_PEA"
"289","A0A9D4XAT3_PEA"
"290","A0A9D4XBG2_PEA"
"291","A0A9D4XC21_PEA"
"292","A0A9D4XC55_PEA"
"293","A0A9D4XC80_PEA.1"
"294","A0A9D4XCQ5_PEA"
"295","A0A9D4XDE3_PEA"
"296","A0A9D4XDQ7_PEA"
"297","A0A9D4XDT3_PEA"
"298","A0A9D4XDW3_PEA"
"299","A0A9D4XE19_PEA"
"300","A0A9D4XED1_PEA"
"301","A0A9D4XEF8_PEA"
"302","A0A9D4XEX7_PEA"
"303","A0A9D4XF67_PEA"
"304","A0A9D4XFA7_PEA"
"305","A0A9D4XFZ5_PEA"
"306","A0A9D4XGK5_PEA"
"307","A0A9D4XGP5_PEA"
"308","A0A9D4XGW0_PEA"
"309","A0A9D4XHM3_PEA"
"310","A0A9D4XHV1_PEA"
"311","A0A9D4XI00_PEA"
"312","A0A9D4XIC9_PEA"
"313","A0A9D4XIP4_PEA"
"314","A0A9D4XJF3_PEA"
"315","A0A9D4XKM5_PEA"
"316","A0A9D4XL76_PEA"
"317","A0A9D4XLE5_PEA"
"318","A0A9D4XLG9_PEA"
"319","A0A9D4XLW6_PEA"
"320","A0A9D4XM73_PEA"
"321","A0A9D4XMM3_PEA"
"322","A0A9D4XMS5_PEA"
"323","A0A9D4XMS7_PEA"
"324","A0A9D4XNP3_PEA"
"325","A0A9D4XNY0_PEA"
"326","A0A9D4XP22_PEA"
"327","A0A9D4XP95_PEA"
"328","A0A9D4XP98_PEA"
"329","A0A9D4XPH4_PEA"
"330","A0A9D4XPJ6_PEA"
"331","A0A9D4XQJ6_PEA"
"332","A0A9D4XQV9_PEA"
"333","A0A9D4XR13_PEA"
"334","A0A9D4XR82_PEA"
"335","A0A9D4XRJ6_PEA"
"336","A0A9D4XRM0_PEA"
"337","A0A9D4XRP6_PEA.1"
"338","A0A9D4XRT1_PEA"
"339","A0A9D4XRZ0_PEA"
"340","A0A9D4XS74_PEA"
"341","A0A9D4XSI2_PEA"
"342","A0A9D4XT07_PEA"
"343","A0A9D4XT29_PEA"
"344","A0A9D4XTD5_PEA"
"345","A0A9D4XTF6_PEA"
"346","A0A9D4XU02_PEA"
"347","A0A9D4XU03_PEA"
"348","A0A9D4XUP7_PEA"
"349","A0A9D4XUS4_PEA"
"350","A0A9D4XUU8_PEA"
"351","A0A9D4XV45_PEA"
"352","A0A9D4XV48_PEA"
"353","A0A9D4XVI9_PEA"
"354","A0A9D4XVL9_PEA"
"355","A0A9D4XVS8_PEA"
"356","A0A9D4XWH1_PEA"
"357","A0A9D4XWV6_PEA"
"358","A0A9D4XX74_PEA"
"359","A0A9D4XX99_PEA"
"360","A0A9D4XXF5_PEA"
"361","A0A9D4XXR1_PEA"
"362","A0A9D4XYD4_PEA"
"363","A0A9D4XYK5_PEA"
"364","A0A9D4XYY7_PEA"
"365","A0A9D4XZ13_PEA"
"366","A0A9D4XZP3_PEA"
"367","A0A9D4XZR1_PEA"
"368","A0A9D4XZV6_PEA"
"369","A0A9D4Y020_PEA"
"370","A0A9D4Y040_PEA"
"371","A0A9D4Y0P5_PEA"
"372","A0A9D4Y1D3_PEA"
"373","A0A9D4Y1L4_PEA"
"374","A0A9D4Y2A1_PEA"
"375","A0A9D4Y2A5_PEA"
"376","A0A9D4Y2G2_PEA"
"377","A0A9D4Y356_PEA"
"378","A0A9D4Y389_PEA"
"379","A0A9D4Y404_PEA"
"380","A0A9D4Y4B2_PEA"
"381","A0A9D4Y4C6_PEA"
"382","A0A9D4Y4D3_PEA"
"383","A0A9D4Y4F0_PEA"
"384","A0A9D4Y4G6_PEA"
"385","A0A9D4Y4L1_PEA"
"386","A0A9D4Y4M1_PEA"
"387","A0A9D4Y4M4_PEA"
"388","A0A9D4Y522_PEA"
"389","A0A9D4Y596_PEA"
"390","A0A9D4Y5D1_PEA"
"391","A0A9D4Y5X5_PEA"
"392","A0A9D4Y626_PEA"
"393","A0A9D4Y642_PEA"
"394","A0A9D4Y6B7_PEA"
"395","A0A9D4Y6J4_PEA"
"396","A0A9D4Y6M9_PEA"
"397","A0A9D4Y6P6_PEA"
"398","A0A9D4Y753_PEA"
"399","A0A9D4Y793_PEA"
"400","A0A9D4Y7C8_PEA"
"401","A0A9D4Y8H8_PEA"
"402","A0A9D4Y9B3_PEA"
"403","A0A9D4YAH4_PEA"
"404","A0A9D4YB87_PEA"
"405","A0A9D4YBV6_PEA"
"406","A0A9D4YBY6_PEA"
"407","A0A9D4YCD8_PEA"
"408","A0A9D4YCE0_PEA"
"409","A0A9D4YCG9_PEA"
"410","A0A9D4YCN1_PEA"
"411","A0A9D4YD50_PEA"
"412","A0A9D4YD78_PEA"
"413","A0A9D4YDP5_PEA"
"414","A0A9D4YDW2_PEA"
"415","A0A9D4YDX6_PEA"
"416","A0A9D4YEE2_PEA"
"417","A0A9D4YEP2_PEA"
"418","A0A9D4YFF3_PEA"
"419","A0A9D4YFN9_PEA"
"420","A0A9D4YFP0_PEA"
"421","A0A9D4YFR8_PEA"
"422","A0A9D4YFX7_PEA"
"423","A0A9D4YG77_PEA"
"424","A0A9D4YGP0_PEA"
"425","A0A9D4YGV9_PEA"
"426","A0A9D4YH57_PEA"
"427","A0A9D4YI27_PEA"
"428","A0A9D4YIL1_PEA"
"429","A0A9D4YIM5_PEA"
"430","A0A9D4YIW7_PEA"
"431","A0A9D4YJ53_PEA"
"432","A0A9D4YJF2_PEA"
"433","A0A9D4YJR3_PEA"
"434","A0A9D4YKP8_PEA"
"435","A0A9D4YKW0_PEA"
"436","A0A9D4YKZ0_PEA"
"437","A0A9D4YL13_PEA"
"438","A0A9D4YLD1_PEA"
"439","A0A9D4YM29_PEA"
"440","A0A9D4YM88_PEA"
"441","A0A9D4YMC1_PEA"
"442","A0A9D4YMD1_PEA"
"443","A0A9D4YMG3_PEA"
"444","A0A9D4YMK6_PEA"
"445","A0A9D4YMQ1_PEA"
"446","A0A9D4YMQ2_PEA"
"447","A0A9D4YMT2_PEA"
"448","A0A9D4YN34_PEA"
"449","A0A9D4YNH0_PEA"
"450","A0A9D4YP09_PEA"
"451","A0A9D4YPF3_PEA"
"452","A0A9D4YQ55_PEA"
"453","A0A9D4ZSE2_PEA"
"454","A0A9D4ZSV2_PEA"
"455","A0A9D4ZTD7_PEA"
"456","A0A9D4ZTU3_PEA"
"457","A0A9D4ZTV3_PEA"
"458","A0A9D4ZTY5_PEA"
"459","A0A9D4ZU54_PEA"
"460","A0A9D4ZUA9_PEA"
"461","A0A9D4ZUE2_PEA"
