"","Common_Genes"
"748","Q6UEJ2_PEA"
"749","Q8H1A3_PEA"
"750","Q9SWS9_PEA"
"751","RL34_PEA"
"752","RPOA_PEA"
"753","RR17_PEA"
"754","RR19_PEA"
"755","RR7_PEA"
"756","SPDS2_PEA"
"757","TBB3_PEA"
"758","TIC32_PEA"
"759","TOC34_PEA"
"760","TOC64_PEA"
"761","UT204_PEA"
