"name","ID","Axillary_Buds_0h_vs_Apical_Buds_0h_p.val","Axillary_Buds_0h_vs_Apical_Buds_0h_p.adj","Axillary_Buds_0h_vs_Apical_Buds_0h_significant","Axillary_Buds_0h_vs_Apical_Buds_0h_ratio"
"A0A9D4WUN8_PEA","A0A9D4WUN8",0.000450994101557043,0.00389,TRUE,-0.949
"A0A9D4WUQ5_PEA","A0A9D4WUQ5",0.000133806542173872,0.00167,TRUE,1.48
"A0A9D4WUV4_PEA","A0A9D4WUV4",1.96713883930476e-05,0.000496,TRUE,-2.17
"A0A9D4WUW0_PEA","A0A9D4WUW0",4.30089785113157e-05,0.000809,TRUE,1.24
"A0A9D4WV85_PEA","A0A9D4WV85",0.000213740425872769,0.00228,TRUE,1.55
"A0A9D4WVB5_PEA","A0A9D4WRV0",0.000661652091080084,0.0052,TRUE,-1.25
"A0A9D4WVE6_PEA","A0A9D4WVE6",0.00371728976489612,0.0194,TRUE,-3.56
"A0A9D4WVG1_PEA","A0A9D4WVG1",0.00907643065866746,0.0391,TRUE,-0.731
"A0A9D4WVP3_PEA","A0A9D4WVP3",0.00437318870758669,0.0221,TRUE,-3.33
"A0A9D4WVP7_PEA","A0A9D4WVP7",5.59839058740653e-07,7.58e-05,TRUE,-3.46
"A0A9D4WVU6_PEA","A0A9D4WVU6",0.000598565876051006,0.0048,TRUE,1.28
"A0A9D4WVV3_PEA","A0A9D4WVV3",0.00872750027817806,0.038,TRUE,1.03
"A0A9D4WVX5_PEA","A0A9D4WVX5",0.000694173955264093,0.00536,TRUE,0.991
"A0A9D4WW43_PEA","A0A9D4WW43",0.000204246729442194,0.00222,TRUE,-1.57
"A0A9D4WW44_PEA","A0A9D4WW44",0.00276792629666485,0.0154,TRUE,2.95
"A0A9D4WW82_PEA","A0A9D4WW82",0.00605597588227882,0.0285,TRUE,0.992
"A0A9D4WW96_PEA","A0A9D4WW96",0.00252642024550301,0.0144,TRUE,1.21
"A0A9D4WWA2_PEA","A0A9D4WWA2",3.5718107209396e-05,0.000711,TRUE,-1.63
"A0A9D4WWC0_PEA","A0A9D4WWC0",0.000668138342380459,0.0052,TRUE,1.47
